timestamp,status,symbol,pnl_usd,capital_usd,trade_index,total_trades
2025/09/10 16:07:16,HIT,LINK/USDC,933.75,100933.74,1,2500
2025/09/10 16:07:16,HIT,UNI/USDC,296.73,101230.46,2,2500
2025/09/10 16:07:16,HIT,AAVE/USDC,273.85,101504.31,3,2500
2025/09/10 16:07:16,HIT,CRV/USDC,326.43,101830.74,4,2500
2025/09/10 16:07:16,HIT,USDC/USDT,308.36,102139.1,5,2500
2025/09/10 16:07:16,HIT,DAI/USDC,909.98,103049.08,6,2500
2025/09/10 16:07:16,HIT,WETH/USDC,869.64,103918.72,7,2500
2025/09/10 16:07:16,HIT,WBTC/USDC,338.24,104256.96,8,2500
2025/09/10 16:07:16,HIT,LINK/USDC,310.25,104567.21,9,2500
2025/09/10 16:07:16,HIT,UNI/USDC,354.46,104921.67,10,2500
2025/09/10 16:07:16,HIT,AAVE/USDC,345.28,105266.94,11,2500
2025/09/10 16:07:16,MISS,CRV/USDC,-914.68,104352.27,12,2500
2025/09/10 16:07:16,HIT,USDC/USDT,910.87,105263.14,13,2500
2025/09/10 16:07:16,HIT,DAI/USDC,351.2,105614.33,14,2500
2025/09/10 16:07:16,HIT,WETH/USDC,294.15,105908.47,15,2500
2025/09/10 16:07:16,HIT,WBTC/USDC,300.85,106209.32,16,2500
2025/09/10 16:07:16,MISS,LINK/USDC,-352.6,105856.72,17,2500
2025/09/10 16:07:16,HIT,UNI/USDC,944.19,106800.9,18,2500
2025/09/10 16:07:16,HIT,AAVE/USDC,954.84,107755.73,19,2500
2025/09/10 16:07:16,HIT,CRV/USDC,354.81,108110.53,20,2500
2025/09/10 16:07:16,HIT,USDC/USDT,311.63,108422.16,21,2500
2025/09/10 16:07:16,MISS,DAI/USDC,-381.32,108040.84,22,2500
2025/09/10 16:07:16,HIT,WETH/USDC,322.16,108362.99,23,2500
2025/09/10 16:07:16,HIT,WBTC/USDC,987.44,109350.42,24,2500
2025/09/10 16:07:16,HIT,LINK/USDC,954.15,110304.57,25,2500
2025/09/10 16:07:16,HIT,UNI/USDC,369.4,110673.97,26,2500
2025/09/10 16:07:16,HIT,AAVE/USDC,352.61,111026.57,27,2500
2025/09/10 16:07:16,HIT,CRV/USDC,326.56,111353.13,28,2500
2025/09/10 16:07:16,HIT,USDC/USDT,357.93,111711.06,29,2500
2025/09/10 16:07:16,HIT,DAI/USDC,1007.62,112718.67,30,2500
2025/09/10 16:07:16,MISS,WETH/USDC,-988.09,111730.58,31,2500
